choose your Task_num
1
TaskID	ArrivalTime	ServiceTime	StartingTime	FinishingTime	TurnAroundTime	WeightTurnAround
1	0		2		0		2		2.0		1.0
3	2		3		2		5		3.0		1.0
4	3		2		5		7		4.0		2.0
7	6		1		7		8		2.0		2.0
6	5		2		8		10		5.0		2.5
10	9		1		10		11		2.0		2.0
8	7		2		11		13		6.0		3.0
9	8		2		13		15		7.0		3.5
14	13		2		15		17		4.0		2.0
11	10		3		17		20		10.0		3.3333333
20	19		2		20		22		3.0		1.5
19	18		3		22		25		7.0		2.3333333
25	24		2		25		27		3.0		1.5
27	26		2		27		29		3.0		1.5
28	27		3		29		32		5.0		1.6666666
12	11		6		32		38		27.0		4.5
39	38		1		38		39		1.0		1.0
40	39		1		39		40		1.0		1.0
34	33		2		40		42		9.0		4.5
41	40		3		42		45		5.0		1.6666666
46	45		3		45		48		3.0		1.0
49	48		3		48		51		3.0		1.0
13	12		6		51		57		45.0		7.5
56	55		1		57		58		3.0		3.0
54	53		2		58		60		7.0		3.5
61	60		1		60		61		1.0		1.0
57	56		3		61		64		8.0		2.6666667
59	58		3		64		67		9.0		3.0
67	66		2		67		69		3.0		1.5
68	67		2		69		71		4.0		2.0
72	71		1		71		72		1.0		1.0
73	72		2		72		74		2.0		1.0
62	61		3		74		77		16.0		5.3333335
76	75		2		77		79		4.0		2.0
78	77		2		79		81		4.0		2.0
81	80		1		81		82		2.0		2.0
82	81		2		82		84		3.0		1.5
65	64		3		84		87		23.0		7.6666665
86	85		1		87		88		3.0		3.0
89	88		1		88		89		1.0		1.0
87	86		2		89		91		5.0		2.5
88	87		2		91		93		6.0		3.0
91	90		2		93		95		5.0		2.5
69	68		3		95		98		30.0		10.0
97	96		1		98		99		3.0		3.0
100	99		1		99		100		1.0		1.0
70	69		3		100		103		34.0		11.333333
80	79		3		103		106		27.0		9.0
84	83		3		106		109		26.0		8.666667
90	89		3		109		112		23.0		7.6666665
92	91		3		112		115		24.0		8.0
94	93		3		115		118		25.0		8.333333
99	98		3		118		121		23.0		7.6666665
17	16		6		121		127		111.0		18.5
21	20		6		127		133		113.0		18.833334
22	21		6		133		139		118.0		19.666666
23	22		6		139		145		123.0		20.5
29	28		6		145		151		123.0		20.5
30	29		6		151		157		128.0		21.333334
33	32		6		157		163		131.0		21.833334
35	34		6		163		169		135.0		22.5
42	41		6		169		175		134.0		22.333334
43	42		6		175		181		139.0		23.166666
44	43		6		181		187		144.0		24.0
45	44		6		187		193		149.0		24.833334
47	46		6		193		199		153.0		25.5
51	50		6		199		205		155.0		25.833334
53	52		6		205		211		159.0		26.5
55	54		6		211		217		163.0		27.166666
63	62		6		217		223		161.0		26.833334
77	76		6		223		229		153.0		25.5
79	78		6		229		235		157.0		26.166666
83	82		6		235		241		159.0		26.5
93	92		6		241		247		155.0		25.833334
96	95		6		247		253		158.0		26.333334
2	1		9		253		262		261.0		29.0
5	4		9		262		271		267.0		29.666666
15	14		9		271		280		266.0		29.555555
16	15		9		280		289		274.0		30.444445
18	17		9		289		298		281.0		31.222221
24	23		9		298		307		284.0		31.555555
26	25		9		307		316		291.0		32.333332
31	30		9		316		325		295.0		32.77778
32	31		9		325		334		303.0		33.666668
36	35		9		334		343		308.0		34.22222
37	36		9		343		352		316.0		35.11111
38	37		9		352		361		324.0		36.0
48	47		9		361		370		323.0		35.88889
50	49		9		370		379		330.0		36.666668
52	51		9		379		388		337.0		37.444443
58	57		9		388		397		340.0		37.77778
60	59		9		397		406		347.0		38.555557
64	63		9		406		415		352.0		39.11111
66	65		9		415		424		359.0		39.88889
71	70		9		424		433		363.0		40.333332
74	73		9		433		442		369.0		41.0
75	74		9		442		451		377.0		41.88889
85	84		9		451		460		376.0		41.77778
95	94		9		460		469		375.0		41.666668
98	97		9		469		478		381.0		42.333332
